https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656356400,2022-06-27 19:00:00,GRT/USDT,0.10881,0.10888,0.1067,0.10804,162634.11747307,17503.289146619647
1656352800,2022-06-27 18:00:00,GRT/USDT,0.10846,0.11055,0.10689,0.10893,628151.97295702,68188.2912252364532
1656349200,2022-06-27 17:00:00,GRT/USDT,0.10912,0.1097,0.10814,0.10849,58755.67115669,6412.8630772351576
1656345600,2022-06-27 16:00:00,GRT/USDT,0.10965,0.10965,0.1084,0.10919,384413.13058328,41835.3605246198766
1656342000,2022-06-27 15:00:00,GRT/USDT,0.10891,0.1104,0.1084,0.10984,191387.98269372,20975.6471618062378
1656338400,2022-06-27 14:00:00,GRT/USDT,0.10757,0.10901,0.10633,0.1089,236925.77519045,25581.1963362106296
1656334800,2022-06-27 13:00:00,GRT/USDT,0.11079,0.11157,0.10739,0.10749,315489.51632844,34395.7109601214352
1656331200,2022-06-27 12:00:00,GRT/USDT,0.11121,0.11186,0.11014,0.1108,253117.96757561,28011.4202719719456
1656327600,2022-06-27 11:00:00,GRT/USDT,0.11301,0.1133,0.11079,0.11129,237234.11196267,26465.3366371814457
1656324000,2022-06-27 10:00:00,GRT/USDT,0.11402,0.11426,0.11281,0.11287,161183.72978482,18296.7241505421395
1656320400,2022-06-27 09:00:00,GRT/USDT,0.1141,0.1142,0.1132,0.11402,27330.70322292,3106.7380049260648
1656316800,2022-06-27 08:00:00,GRT/USDT,0.11222,0.11412,0.11222,0.11412,36794.5591494,4171.5058751051245
1656313200,2022-06-27 07:00:00,GRT/USDT,0.11138,0.11248,0.11124,0.11211,105346.2367,11795.369440991
1656309600,2022-06-27 06:00:00,GRT/USDT,0.11043,0.1115,0.10992,0.11138,115257.76024356,12812.7471780015135
1656306000,2022-06-27 05:00:00,GRT/USDT,0.11192,0.11192,0.10987,0.11042,31229.54665191,3462.7777468086764
1656302400,2022-06-27 04:00:00,GRT/USDT,0.11058,0.11192,0.10995,0.11182,416266.08580697,46180.9245385160324
1656298800,2022-06-27 03:00:00,GRT/USDT,0.11035,0.11088,0.10994,0.11058,189570.56939298,20922.8616074111406
1656295200,2022-06-27 02:00:00,GRT/USDT,0.11005,0.11085,0.10953,0.11009,80487.82075479,8856.1251360479783
1656291600,2022-06-27 01:00:00,GRT/USDT,0.10915,0.11025,0.1085,0.11008,112542.58226382,12363.8150861978786
1656288000,2022-06-27 00:00:00,GRT/USDT,0.10795,0.10974,0.10758,0.1092,139582.8758299,15231.829226987014
