https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1548115200,2019-01-22 00:00:00,ETH/USD,119.77,123.25,115.68,121.97,379909.76,3144.41
1548028800,2019-01-21 00:00:00,ETH/USD,122.0,122.7,118.57,119.77,310614.37,2572.92
1547942400,2019-01-20 00:00:00,ETH/USD,126.2,127.25,120.63,122.0,464678.97,3755.09
1547856000,2019-01-19 00:00:00,ETH/USD,123.14,129.5,123.14,126.2,403735.72,3194.44
1547769600,2019-01-18 00:00:00,ETH/USD,126.4,126.4,122.5,123.14,330871.24,2660.42
1547683200,2019-01-17 00:00:00,ETH/USD,125.92,127.0,121.49,126.4,395794.28,3169.42
1547596800,2019-01-16 00:00:00,ETH/USD,124.0,131.11,123.13,125.92,413040.7,3281.18
1547510400,2019-01-15 00:00:00,ETH/USD,132.05,134.0,121.4,124.0,517842.11,4026.76
1547424000,2019-01-14 00:00:00,ETH/USD,119.22,135.7,119.15,132.05,558912.1,4399.57
1547337600,2019-01-13 00:00:00,ETH/USD,129.14,129.5,118.0,119.22,434377.14,3494.87
1547251200,2019-01-12 00:00:00,ETH/USD,130.0,131.0,128.0,129.14,395903.12,3052.98
1547164800,2019-01-11 00:00:00,ETH/USD,132.29,133.07,126.3,130.0,440705.04,3393.16
1547078400,2019-01-10 00:00:00,ETH/USD,152.39,153.73,126.52,132.29,834531.67,6102.98
1546992000,2019-01-09 00:00:00,ETH/USD,152.0,156.14,151.95,152.39,471422.71,3065.67
1546905600,2019-01-08 00:00:00,ETH/USD,154.63,156.08,150.32,152.0,520264.33,3397.11
1546819200,2019-01-07 00:00:00,ETH/USD,160.82,161.1,153.0,154.63,592853.04,3782.31
1546732800,2019-01-06 00:00:00,ETH/USD,158.49,163.3,154.31,160.82,697860.93,4401.7
1546646400,2019-01-05 00:00:00,ETH/USD,157.42,164.6,157.42,158.49,726772.88,4505.9
1546560000,2019-01-04 00:00:00,ETH/USD,151.28,160.7,150.62,157.42,779019.24,4998.83
1546473600,2019-01-03 00:00:00,ETH/USD,158.0,159.0,149.45,151.28,617765.24,4027.44
1546387200,2019-01-02 00:00:00,ETH/USD,144.17,161.0,143.3,158.0,1027619.75,6758.66
1546300800,2019-01-01 00:00:00,ETH/USD,136.49,147.15,135.51,144.17,465200.3,3338.21
1546214400,2018-12-31 00:00:00,ETH/USD,143.87,143.9,132.88,136.49,451179.82,3242.26
1546128000,2018-12-30 00:00:00,ETH/USD,138.19,145.0,133.6,143.87,586605.5,4187.63
1546041600,2018-12-29 00:00:00,ETH/USD,141.05,149.9,134.5,138.19,764238.93,5442.59
1545955200,2018-12-28 00:00:00,ETH/USD,118.82,142.3,117.99,141.05,777059.57,6004.66
1545868800,2018-12-27 00:00:00,ETH/USD,135.14,136.0,117.07,118.82,598305.87,4732.73
1545782400,2018-12-26 00:00:00,ETH/USD,133.0,141.88,129.0,135.14,595423.79,4431.76
1545696000,2018-12-25 00:00:00,ETH/USD,144.0,144.0,125.19,133.0,804907.98,6100.11
1545609600,2018-12-24 00:00:00,ETH/USD,131.99,160.73,131.99,144.0,1098656.94,7366.7
1545523200,2018-12-23 00:00:00,ETH/USD,118.02,135.91,118.02,131.99,777424.1,5968.95
1545436800,2018-12-22 00:00:00,ETH/USD,110.35,118.52,108.31,118.02,384235.93,3404.77
1545350400,2018-12-21 00:00:00,ETH/USD,117.85,121.0,108.0,110.35,518300.06,4507.85
1545264000,2018-12-20 00:00:00,ETH/USD,101.47,119.4,101.1,117.85,626854.91,5685.51
1545177600,2018-12-19 00:00:00,ETH/USD,102.18,109.87,100.0,101.47,634400.62,6045.68
1545091200,2018-12-18 00:00:00,ETH/USD,95.8,103.33,92.0,102.18,480963.96,5033.75
1545004800,2018-12-17 00:00:00,ETH/USD,86.4,100.02,86.0,95.8,602157.25,6516.4
1544918400,2018-12-16 00:00:00,ETH/USD,85.78,90.0,85.64,86.4,262029.22,2974.43
1544832000,2018-12-15 00:00:00,ETH/USD,86.4,88.0,84.0,85.78,286952.58,3344.55
1544745600,2018-12-14 00:00:00,ETH/USD,89.06,90.19,85.02,86.4,285678.84,3228.89
1544659200,2018-12-13 00:00:00,ETH/USD,92.5,93.92,88.0,89.06,360625.24,3930.51
1544572800,2018-12-12 00:00:00,ETH/USD,91.27,94.6,90.21,92.5,350458.4,3788.46
1544486400,2018-12-11 00:00:00,ETH/USD,93.2,95.87,89.68,91.27,368373.82,4009.67
1544400000,2018-12-10 00:00:00,ETH/USD,96.5,98.32,91.8,93.2,331666.6,3512.32
1544313600,2018-12-09 00:00:00,ETH/USD,93.85,102.33,92.1,96.5,410854.25,4262.57
