https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1646438400,2022-03-05 00:00:00,COMB/USDT,0.001418,0.001522,0.00139,0.001453,360539389.19701178,515364.20680718650045
1646352000,2022-03-04 00:00:00,COMB/USDT,0.001491,0.0015,0.001365,0.001417,417068387.37080401,599355.0667570902576
1646265600,2022-03-03 00:00:00,COMB/USDT,0.001691,0.001691,0.001481,0.001493,345470410.76219541,528423.03904798863398
1646179200,2022-03-02 00:00:00,COMB/USDT,0.001595,0.001692,0.001546,0.001691,394698677.33550834,636501.36479826419157
1646092800,2022-03-01 00:00:00,COMB/USDT,0.001544,0.001603,0.00152,0.001592,361542342.11130642,562023.85738958345731
1646006400,2022-02-28 00:00:00,COMB/USDT,0.001406,0.00158,0.001392,0.001543,348343764.72669794,508024.55037579903835
1645920000,2022-02-27 00:00:00,COMB/USDT,0.001482,0.001494,0.001389,0.001411,357317614.42438335,511406.563991841136
1645833600,2022-02-26 00:00:00,COMB/USDT,0.001463,0.001536,0.001427,0.001481,188346299.64114535,276426.34933812070209
1645747200,2022-02-25 00:00:00,COMB/USDT,0.001433,0.001482,0.001406,0.001466,372102686.1597272,538262.81823206485143
1645660800,2022-02-24 00:00:00,COMB/USDT,0.001471,0.001471,0.00135,0.00143,275586206.11520023,386155.2850985239031
1645574400,2022-02-23 00:00:00,COMB/USDT,0.001582,0.001742,0.00147,0.00147,330816669.80497182,521038.98319673829846
1645488000,2022-02-22 00:00:00,COMB/USDT,0.001564,0.001616,0.00148,0.00158,389271218.328049,593546.14080030213001
1645401600,2022-02-21 00:00:00,COMB/USDT,0.001601,0.001699,0.00156,0.001561,318496063.90007341,515404.07243420834808
1645315200,2022-02-20 00:00:00,COMB/USDT,0.001698,0.001701,0.001563,0.001601,414996859.05757997,671354.38414184222804
1645228800,2022-02-19 00:00:00,COMB/USDT,0.001651,0.00175,0.001624,0.001701,332488037.10924894,558807.38763508403671
1645142400,2022-02-18 00:00:00,COMB/USDT,0.001746,0.001748,0.00163,0.001651,389043953.79898145,655936.74552015219891
1645056000,2022-02-17 00:00:00,COMB/USDT,0.001802,0.001912,0.001719,0.001746,312633417.88286402,562688.92832448747323
1644969600,2022-02-16 00:00:00,COMB/USDT,0.001873,0.00195,0.00175,0.001805,291889918.67298256,538721.8076474273986
1644883200,2022-02-15 00:00:00,COMB/USDT,0.00186,0.001948,0.001774,0.001885,276264640.74483879,515556.62542917940035
1644796800,2022-02-14 00:00:00,COMB/USDT,0.001801,0.001902,0.00176,0.001853,286760567.07063313,516052.18970698246053
1644710400,2022-02-13 00:00:00,COMB/USDT,0.001908,0.001911,0.001759,0.001801,344251885.42321037,619773.16528403337638
